Durasi_Oven,Lubrikasi_Terakhir,Durasi_Terakhir,Durasi_Lubrikasi
sangat_lama,sangat_lama,tidak_spray,sangat_lama
sangat_lama,sangat_lama,sebentar,sangat_lama
sangat_lama,sangat_lama,sedang,sangat_lama
sangat_lama,sangat_lama,lama,sangat_lama
sangat_lama,sangat_lama,sangat_lama,sangat_lama
sangat_lama,lama,tidak_spray,sangat_lama
sangat_lama,lama,sebentar,sangat_lama
sangat_lama,lama,sedang,sangat_lama
sangat_lama,lama,lama,sangat_lama
sangat_lama,lama,sangat_lama,lama
sangat_lama,sedang,tidak_spray,sangat_lama
sangat_lama,sedang,sebentar,sangat_lama
sangat_lama,sedang,sedang,sangat_lama
sangat_lama,sedang,lama,lama
sangat_lama,sedang,sangat_lama,lama
sangat_lama,sebentar,tidak_spray,sangat_lama
sangat_lama,sebentar,sebentar,sangat_lama
sangat_lama,sebentar,sedang,lama
sangat_lama,sebentar,lama,lama
sangat_lama,sebentar,sangat_lama,lama
sangat_lama,sangat_sebentar,tidak_spray,sangat_lama
sangat_lama,sangat_sebentar,sebentar,lama
sangat_lama,sangat_sebentar,sedang,lama
sangat_lama,sangat_sebentar,lama,lama
sangat_lama,sangat_sebentar,sangat_lama,lama
lama,sangat_lama,tidak_spray,lama
lama,sangat_lama,sebentar,lama
lama,sangat_lama,sedang,lama
lama,sangat_lama,lama,lama
lama,sangat_lama,sangat_lama,lama
lama,lama,tidak_spray,lama
lama,lama,sebentar,lama
lama,lama,sedang,lama
lama,lama,lama,lama
lama,lama,sangat_lama,sedang
lama,sedang,tidak_spray,lama
lama,sedang,sebentar,lama
lama,sedang,sedang,lama
lama,sedang,lama,sedang
lama,sedang,sangat_lama,sedang
lama,sebentar,tidak_spray,lama
lama,sebentar,sebentar,lama
lama,sebentar,sedang,sedang
lama,sebentar,lama,sedang
lama,sebentar,sangat_lama,sedang
lama,sangat_sebentar,tidak_spray,lama
lama,sangat_sebentar,sebentar,sedang
lama,sangat_sebentar,sedang,sedang
lama,sangat_sebentar,lama,sedang
lama,sangat_sebentar,sangat_lama,sedang
sedang,sangat_lama,tidak_spray,sedang
sedang,sangat_lama,sebentar,sedang
sedang,sangat_lama,sedang,sedang
sedang,sangat_lama,lama,sedang
sedang,sangat_lama,sangat_lama,sedang
sedang,lama,tidak_spray,sedang
sedang,lama,sebentar,sedang
sedang,lama,sedang,sedang
sedang,lama,lama,sedang
sedang,lama,sangat_lama,sebentar
sedang,sedang,tidak_spray,sedang
sedang,sedang,sebentar,sedang
sedang,sedang,sedang,sedang
sedang,sedang,lama,sebentar
sedang,sedang,sangat_lama,sebentar
sedang,sebentar,tidak_spray,sedang
sedang,sebentar,sebentar,sedang
sedang,sebentar,sedang,sebentar
sedang,sebentar,lama,sebentar
sedang,sebentar,sangat_lama,sebentar
sedang,sangat_sebentar,tidak_spray,sedang
sedang,sangat_sebentar,sebentar,sebentar
sedang,sangat_sebentar,sedang,sebentar
sedang,sangat_sebentar,lama,sebentar
sedang,sangat_sebentar,sangat_lama,sebentar
sebentar,sangat_lama,tidak_spray,sebentar
sebentar,sangat_lama,sebentar,sebentar
sebentar,sangat_lama,sedang,sebentar
sebentar,sangat_lama,lama,sebentar
sebentar,sangat_lama,sangat_lama,sebentar
sebentar,lama,tidak_spray,sebentar
sebentar,lama,sebentar,sebentar
sebentar,lama,sedang,sebentar
sebentar,lama,lama,sebentar
sebentar,lama,sangat_lama,tidak_spray
sebentar,sedang,tidak_spray,sebentar
sebentar,sedang,sebentar,sebentar
sebentar,sedang,sedang,sebentar
sebentar,sedang,lama,tidak_spray
sebentar,sedang,sangat_lama,tidak_spray
sebentar,sebentar,tidak_spray,sebentar
sebentar,sebentar,sebentar,sebentar
sebentar,sebentar,sedang,tidak_spray
sebentar,sebentar,lama,tidak_spray
sebentar,sebentar,sangat_lama,tidak_spray
sebentar,sangat_sebentar,tidak_spray,sebentar
sebentar,sangat_sebentar,sebentar,tidak_spray
sebentar,sangat_sebentar,sedang,tidak_spray
sebentar,sangat_sebentar,lama,tidak_spray
sebentar,sangat_sebentar,sangat_lama,tidak_spray
sangat_sebentar,sangat_lama,tidak_spray,tidak_spray
sangat_sebentar,sangat_lama,sebentar,tidak_spray
sangat_sebentar,sangat_lama,sedang,tidak_spray
sangat_sebentar,sangat_lama,lama,tidak_spray
sangat_sebentar,sangat_lama,sangat_lama,tidak_spray
sangat_sebentar,lama,tidak_spray,tidak_spray
sangat_sebentar,lama,sebentar,tidak_spray
sangat_sebentar,lama,sedang,tidak_spray
sangat_sebentar,lama,lama,tidak_spray
sangat_sebentar,lama,sangat_lama,tidak_spray
sangat_sebentar,sedang,tidak_spray,tidak_spray
sangat_sebentar,sedang,sebentar,tidak_spray
sangat_sebentar,sedang,sedang,tidak_spray
sangat_sebentar,sedang,lama,tidak_spray
sangat_sebentar,sedang,sangat_lama,tidak_spray
sangat_sebentar,sebentar,tidak_spray,tidak_spray
sangat_sebentar,sebentar,sebentar,tidak_spray
sangat_sebentar,sebentar,sedang,tidak_spray
sangat_sebentar,sebentar,lama,tidak_spray
sangat_sebentar,sebentar,sangat_lama,tidak_spray
sangat_sebentar,sangat_sebentar,tidak_spray,tidak_spray
sangat_sebentar,sangat_sebentar,sebentar,tidak_spray
sangat_sebentar,sangat_sebentar,sedang,tidak_spray
sangat_sebentar,sangat_sebentar,lama,tidak_spray
sangat_sebentar,sangat_sebentar,sangat_lama,tidak_spray
